id,ip,sus
00000000-0000-0000-0000-000000000000,14.19.52.212,0
00000000-0000-0000-0000-000000000001,28.90.141.133,0
00000000-0000-0000-0000-000000000002,177.97.238.167,1
00000000-0000-0000-0000-000000000003,125.239.147.225,0
00000000-0000-0000-0000-000000000004,168.62.88.122,0
00000000-0000-0000-0000-000000000005,151.150.25.105,0
00000000-0000-0000-0000-000000000006,140.162.149.167,0
00000000-0000-0000-0000-000000000007,113.232.162.54,0
00000000-0000-0000-0000-000000000008,52.37.222.77,0
00000000-0000-0000-0000-000000000009,78.27.72.96,0
00000000-0000-0000-0000-00000000000a,75.115.15.11,0
00000000-0000-0000-0000-00000000000b,153.143.166.212,0
00000000-0000-0000-0000-00000000000c,163.105.136.173,0
00000000-0000-0000-0000-00000000000d,212.114.246.247,0
00000000-0000-0000-0000-00000000000e,40.146.239.205,0
00000000-0000-0000-0000-00000000000f,9.107.75.165,0
00000000-0000-0000-0000-000000000010,67.248.124.114,0
00000000-0000-0000-0000-000000000011,75.5.180.81,0
00000000-0000-0000-0000-000000000012,161.162.76.137,0
00000000-0000-0000-0000-000000000013,83.242.234.231,0
00000000-0000-0000-0000-000000000014,62.58.234.7,0
00000000-0000-0000-0000-000000000015,151.172.50.33,0
00000000-0000-0000-0000-000000000016,59.235.175.28,0
00000000-0000-0000-0000-000000000017,41.31.205.82,0
00000000-0000-0000-0000-000000000018,210.222.24.192,0
00000000-0000-0000-0000-000000000019,56.164.154.238,0
00000000-0000-0000-0000-00000000001a,40.192.90.181,0
00000000-0000-0000-0000-00000000001b,192.250.155.197,0
00000000-0000-0000-0000-00000000001c,200.233.209.34,0
00000000-0000-0000-0000-00000000001d,208.35.232.24,0
00000000-0000-0000-0000-00000000001e,44.24.88.14,0
00000000-0000-0000-0000-00000000001f,214.109.96.233,0
00000000-0000-0000-0000-000000000020,8.221.247.205,0
00000000-0000-0000-0000-000000000021,157.115.230.185,0
00000000-0000-0000-0000-000000000022,205.131.102.183,0
00000000-0000-0000-0000-000000000023,193.251.69.94,0
00000000-0000-0000-0000-000000000024,136.91.18.65,0
00000000-0000-0000-0000-000000000025,18.203.80.102,0
00000000-0000-0000-0000-000000000026,11.63.180.215,0
00000000-0000-0000-0000-000000000027,77.45.181.169,0
00000000-0000-0000-0000-000000000028,200.254.38.224,0
00000000-0000-0000-0000-000000000029,10.72.144.191,0
00000000-0000-0000-0000-00000000002a,153.234.234.135,0
00000000-0000-0000-0000-00000000002b,185.236.81.8,0
00000000-0000-0000-0000-00000000002c,94.0.53.21,0
00000000-0000-0000-0000-00000000002d,31.132.30.113,0
00000000-0000-0000-0000-00000000002e,80.117.2.158,0
00000000-0000-0000-0000-00000000002f,160.21.48.245,0
